ds,y
,AAPL
2023-01-25,139.75167846679688
2023-01-26,141.82046508789062
2023-01-27,143.76116943359375
2023-01-30,140.87474060058594
2023-01-31,142.14556884765625
2023-02-01,143.2686004638672
2023-02-02,148.57852172851562
2023-02-03,152.2037811279297
2023-02-06,149.4749755859375
2023-02-07,152.3516082763672
2023-02-08,149.6621551513672
2023-02-09,148.6277618408203
2023-02-10,148.99282836914062
2023-02-13,151.7948760986328
2023-02-14,151.153564453125
2023-02-15,153.255126953125
2023-02-16,151.65675354003906
2023-02-17,150.5122528076172
2023-02-21,146.4966278076172
2023-02-22,146.92088317871094
2023-02-23,147.40432739257812
2023-02-24,144.75027465820312
2023-02-27,145.944091796875
2023-02-28,145.44091796875
2023-03-01,143.36895751953125
2023-03-02,143.9609375
2023-03-03,149.01254272460938
2023-03-06,151.77516174316406
2023-03-07,149.574951171875
2023-03-08,150.8280029296875
2023-03-09,148.5784149169922
2023-03-10,146.516357421875
2023-03-13,148.4600372314453
2023-03-14,150.55172729492188
2023-03-15,150.94639587402344
2023-03-16,153.76817321777344
2023-03-17,152.9295196533203
2023-03-20,155.29747009277344
2023-03-21,157.15234375
2023-03-22,155.7217254638672
2023-03-23,156.80699157714844
2023-03-24,158.10939025878906
2023-03-27,156.16571044921875
2023-03-28,155.54412841796875
2023-03-29,158.62249755859375
2023-03-30,160.19122314453125
2023-03-31,162.69729614257812
2023-04-03,163.9503173828125
2023-04-04,163.41754150390625
2023-04-05,161.57249450683594
2023-04-06,162.4604949951172
2023-04-10,159.86561584472656
2023-04-11,158.65208435058594
2023-04-12,157.96141052246094
2023-04-13,163.34844970703125
2023-04-14,163.00315856933594
2023-04-17,163.02288818359375
2023-04-18,164.2462921142578
2023-04-19,165.3908233642578
2023-04-20,164.4239044189453
2023-04-21,162.81568908691406
2023-04-24,163.1215362548828
2023-04-25,161.5823974609375
2023-04-26,161.57249450683594
2023-04-27,166.160400390625
2023-04-28,167.41343688964844
2023-05-01,167.3246307373047
2023-05-02,166.2886505126953
2023-05-03,165.21319580078125
2023-05-04,163.5753936767578
2023-05-05,171.25146484375
2023-05-08,171.18240356445312
2023-05-09,169.47552490234375
2023-05-10,171.2416229248047
2023-05-11,171.42906188964844
2023-05-12,170.50035095214844
2023-05-15,170.00634765625
2023-05-16,170.00634765625
2023-05-17,170.61891174316406
2023-05-18,172.95059204101562
2023-05-19,173.05926513671875
2023-05-22,172.1107940673828
2023-05-23,169.50247192382812
2023-05-24,169.7790985107422
2023-05-25,170.91531372070312
2023-05-26,173.3260498046875
2023-05-30,175.17359924316406
2023-05-31,175.12420654296875
2023-06-01,177.93014526367188
2023-06-02,178.77981567382812
2023-06-05,177.42626953125
2023-06-06,177.06069946289062
2023-06-07,175.6873779296875
2023-06-08,178.4044189453125
2023-06-09,178.7897186279297
2023-06-12,181.58578491210938
2023-06-13,181.1114959716797
2023-06-14,181.7438507080078
2023-06-15,183.7791290283203
2023-06-16,182.70220947265625
2023-06-20,182.7911376953125
2023-06-21,181.75375366210938
2023-06-22,184.75726318359375
2023-06-23,184.4411163330078
2023-06-26,183.0480499267578
2023-06-27,185.8045654296875
2023-06-28,186.98031616210938
2023-06-29,187.3162384033203
2023-06-30,191.6436767578125
2023-07-03,190.1518096923828
2023-07-05,189.03536987304688
2023-07-06,189.5095672607422
2023-07-07,188.3931121826172
2023-07-10,186.3479766845703
2023-07-11,185.8243408203125
2023-07-12,187.49404907226562
2023-07-13,188.25482177734375
2023-07-14,188.4030303955078
2023-07-17,191.66346740722656
2023-07-18,191.40655517578125
2023-07-19,192.76016235351562
2023-07-20,190.8137664794922
2023-07-21,189.63803100585938
2023-07-24,190.43829345703125
2023-07-25,191.29788208007812
2023-07-26,192.16732788085938
2023-07-27,190.90269470214844
2023-07-28,193.4813690185547
2023-07-31,194.09390258789062
2023-08-01,193.2639923095703
2023-08-02,190.2703399658203
2023-08-03,188.87725830078125
2023-08-04,179.807373046875
2023-08-07,176.70504760742188
2023-08-08,177.64366149902344
2023-08-09,176.0529327392578
